,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials,City Temperature,Home Team Average Temperature,Away Team Average Temperature,Winning Team Average Temperature
760,1982.0,25 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Northern Ireland,1.0,0.0,Spain,H,Northern Ireland, ,902.0,NIR,ESP,27,9.3,14.0,9.3
761,2002.0,09 Jun 2002 - 20:30 ,Group H,International Stadium Yokohama,Yokohama ,Japan,1.0,0.0,Russia,H,Japan, ,43950029.0,JPN,RUS,25,12.0,-3.0,12.0
762,2010.0,14 Jun 2010 - 16:00 ,Group E,Free State Stadium,Mangaung/Bloemfontein ,Japan,1.0,0.0,Cameroon,H,Japan, ,300061477.0,JPN,CMR,22,12.0,25.0,12.0
763,2002.0,14 Jun 2002 - 15:30 ,Group H,Osaka Nagai Stadium,Osaka ,Tunisia,0.0,2.0,Japan,A,Japan, ,43950045.0,TUN,JPN,27,21.0,12.0,12.0
764,2010.0,24 Jun 2010 - 20:30 ,Group E,Royal Bafokeng Sports Palace,Phokeng ,Denmark,1.0,3.0,Japan,A,Japan, ,300061474.0,DEN,JPN,23,-16.0,12.0,12.0
765,2010.0,22 Jun 2010 - 16:00 ,Group A,Free State Stadium,Mangaung/Bloemfontein ,France,1.0,2.0,South Africa,A,South Africa, ,300061449.0,FRA,RSA,22,13.0,17.0,17.0
766,2002.0,08 Jun 2002 - 15:30 ,Group B,Daegu World Cup Stadium,Daegu ,South Africa,1.0,0.0,Slovenia,H,South Africa, ,43950024.0,RSA,SVN,28,17.0,10.0,17.0
767,1994.0,29 Jun 1994 - 12:30 ,Group F,RFK Stadium,Washington Dc ,Belgium,0.0,1.0,Saudi Arabia,A,Saudi Arabia, ,3082.0,BEL,KSA,36,10.0,26.0,26.0
768,1994.0,25 Jun 1994 - 12:30 ,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2.0,1.0,Morocco,H,Saudi Arabia, ,3070.0,KSA,MAR,34,26.0,18.0,26.0
769,2002.0,06 Jun 2002 - 18:00 ,Group E,Saitama Stadium 2002,Saitama ,Cameroon,1.0,0.0,Saudi Arabia,H,Cameroon, ,43950019.0,CMR,KSA,29,25.0,26.0,25.0
770,1990.0,23 Jun 1990 - 17:00 ,Round of 16,San Paolo,Naples ,Cameroon,2.0,1.0,Colombia,H,Cameroon,Cameroon win after extra time ,102.0,CMR,COL,29,25.0,25.0,25.0
771,1990.0,14 Jun 1990 - 17:00 ,Group B,Stadio San Nicola,Bari ,Cameroon,2.0,1.0,Romania,H,Cameroon, ,108.0,CMR,ROU,29,25.0,10.0,25.0
772,1990.0,08 Jun 1990 - 18:00 ,Group B,Giuseppe Meazza,Milan ,Argentina,0.0,1.0,Cameroon,A,Cameroon, ,26.0,ARG,CMR,29,15.0,25.0,25.0
773,1998.0,30 Jun 1998 - 16:30 ,Round of 16,Stade du Parc Lescure,Bordeaux ,Romania,0.0,1.0,Croatia,A,Croatia, ,8780.0,ROU,CRO,32,10.0,12.0,12.0
774,1998.0,04 Jul 1998 - 21:00 ,Quarter-finals,Stade de Gerland,Lyon ,Germany,0.0,3.0,Croatia,A,Croatia, ,8783.0,GER,CRO,26,9.0,12.0,12.0
775,2002.0,08 June 2002 - 18:00 ,Group G,Kashima Stadium,Ibaraki ,Italy,1.0,2.0,Croatia,A,Croatia, ,43950025.0,ITA,CRO,26,13.0,12.0,12.0
776,1998.0,11 Jul 1998 - 21:00 ,Match for third place,Parc des Princes,Paris ,Netherlands,1.0,2.0,Croatia,A,Croatia, ,8787.0,NED,CRO,25,10.0,12.0,12.0
777,2014.0,18 Jun 2014 - 18:00 ,Group A,Arena Amazonia,Manaus ,Cameroon,0.0,4.0,Croatia,A,Croatia, ,300186453.0,CMR,CRO,31,25.0,12.0,12.0
778,1998.0,14 Jun 1998 - 21:00 ,Group H,Stade Felix Bollaert,Lens ,Jamaica,1.0,3.0,Croatia,A,Croatia, ,8736.0,JAM,CRO,22,26.0,12.0,12.0
779,1998.0,20 Jun 1998 - 14:30 ,Group H,La Beaujoire,Nantes ,Japan,0.0,1.0,Croatia,A,Croatia, ,8751.0,JPN,CRO,28,12.0,12.0,12.0
780,2002.0,13 Jun 2002 - 20:30 ,Group G,International Stadium Yokohama,Yokohama ,Ecuador,1.0,0.0,Croatia,H,Ecuador, ,43950044.0,ECU,CRO,25,22.0,12.0,22.0
781,2006.0,15 Jun 2006 - 15:00 ,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg ,Ecuador,3.0,0.0,Costa Rica,H,Ecuador, ,97410018.0,ECU,CRC,22,22.0,26.0,22.0
782,2006.0,09 Jun 2006 - 21:00 ,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Poland,0.0,2.0,Ecuador,A,Ecuador, ,97410002.0,POL,ECU,22,8.0,22.0,22.0
783,2014.0,20 Jun 2014 - 19:00 ,Group E,Arena da Baixada,Curitiba ,Honduras,1.0,2.0,Ecuador,A,Ecuador, ,300186463.0,HON,ECU,23,25.0,22.0,22.0
784,2002.0,31 May 2002 - 20:30 ,Group A,Seoul World Cup Stadium,Seoul ,France,0.0,1.0,Senegal,A,Senegal, ,43950001.0,FRA,SEN,29,13.0,28.0,28.0
785,2002.0,16 Jun 2002 - 15:30 ,Round of 16,Oita Stadium Big Eye,Oita ,Sweden,1.0,2.0,Senegal,A,Senegal,Win on Golden Goal ,43950051.0,SWE,SEN,21,3.0,28.0,28.0
786,2014.0,28 Jun 2014 - 17:00 ,Round of 16,Estadio do Maracana,Rio De Janeiro ,Colombia,2.0,0.0,Uruguay,H,Colombia, ,300186491.0,COL,URU,30,25.0,17.0,25.0
787,1994.0,26 Jun 1994 - 16:00 ,Group A,Stanford Stadium,San Francisco ,Switzerland,0.0,2.0,Colombia,A,Colombia, ,3074.0,SUI,COL,23,8.0,25.0,25.0
788,1990.0,09 Jun 1990 - 17:00 ,Group D,Renato Dall Ara,Bologna ,United Arab Emirates,0.0,2.0,Colombia,A,Colombia, ,119.0,UAE,COL,26,29.0,25.0,25.0
789,2014.0,24 Jun 2014 - 16:00 ,Group C,Arena Pantanal,Cuiaba ,Japan,1.0,4.0,Colombia,A,Colombia, ,300186457.0,JPN,COL,36,12.0,25.0,25.0
790,1998.0,22 Jun 1998 - 17:30 ,Group G,La Mosson,Montpellier ,Colombia,1.0,0.0,Tunisia,H,Colombia, ,8755.0,COL,TUN,32,25.0,21.0,25.0
791,2014.0,14 Jun 2014 - 13:00 ,Group C,Estadio Mineirao,Belo Horizonte ,Colombia,3.0,0.0,Greece,H,Colombia, ,300186471.0,COL,GRE,28,25.0,15.0,25.0
792,2014.0,19 Jun 2014 - 13:00 ,Group C,Estadio Nacional,Brasilia ,Colombia,2.0,1.0,Ivory Coast,H,Colombia, ,300186468.0,COL,CIV,28,25.0,26.35,25.0
793,1954.0,20 Jun 1954 - 17:00 ,Group 2,Charmilles,Geneva ,Turkey,7.0,0.0,Korea Republic,H,Turkey, ,1304.0,TUR,KOR,23,12.0,11.5,12.0
794,2002.0,29 Jun 2002 - 20:00 ,Third place,Daegu World Cup Stadium,Daegu ,Korea Republic,2.0,3.0,Turkey,A,Turkey, ,43950063.0,KOR,TUR,28,11.5,12.0,12.0
795,2002.0,18 Jun 2002 - 15:30 ,Round of 16,Miyagi Stadium,Rifu ,Japan,0.0,1.0,Turkey,A,Turkey, ,43950055.0,JPN,TUR,26,12.0,12.0,12.0
796,2002.0,22 Jun 2002 - 20:30 ,Quarter-finals,Osaka Nagai Stadium,Osaka ,Senegal,0.0,1.0,Turkey,A,Turkey,Win on Golden Goal ,43950060.0,SEN,TUR,27,28.0,12.0,12.0
797,2002.0,13 Jun 2002 - 15:30 ,Group C,Seoul World Cup Stadium,Seoul ,Turkey,3.0,0.0,China PR,H,Turkey, ,43950042.0,TUR,CHN,29,12.0,6.95,12.0
798,2002.0,14 Jun 2002 - 20:30 ,Group D,Incheon Football Stadium,Incheon ,Portugal,0.0,1.0,Korea Republic,A,Korea Republic, ,43950047.0,POR,KOR,27,15.0,11.5,11.5
799,1966.0,19 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea Republic,1.0,0.0,Italy,H,Korea Republic, ,1679.0,PRK,ITA,17,11.5,13.0,11.5
800,2002.0,18 Jun 2002 - 20:30 ,Round of 16,Daejeon World Cup Stadium,Daejeon ,Korea Republic,2.0,1.0,Italy,H,Korea Republic,Win on Golden Goal ,43950056.0,KOR,ITA,23,11.5,13.0,11.5
801,2002.0,04 Jun 2002 - 20:30 ,Group D,Busan Asiad Main Stadium,Busan ,Korea Republic,2.0,0.0,Poland,H,Korea Republic, ,43950014.0,KOR,POL,48,11.5,8.0,11.5
802,2010.0,12 Jun 2010 - 13:30 ,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Korea Republic,2.0,0.0,Greece,H,Korea Republic, ,300061459.0,KOR,GRE,13,11.5,15.0,11.5
803,2006.0,13 Jun 2006 - 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Korea Republic,2.0,1.0,Togo,H,Korea Republic, ,97410014.0,KOR,TOG,23,11.5,27.0,11.5
804,1998.0,13 Jun 1998 - 14:30 ,Group D,La Beaujoire,Nantes ,Spain,2.0,3.0,Nigeria,A,Nigeria, ,8731.0,ESP,NGA,28,14.0,27.0,27.0
