Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials
1954,23 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Germany,7,2,Turkey,H,Germany, ,1284,FRG,TUR
1954,23 Jun 1954 - 18:00 ,Group 4,St. Jakob,Basel ,Switzerland,4,1,Italy,H,Switzerland, ,1301,SUI,ITA
1954,26 Jun 1954 - 17:00 ,Quarter-finals,St. Jakob,Basel ,Uruguay,4,2,England,H,Uruguay, ,1264,URU,ENG
1954,26 Jun 1954 - 17:00 ,Quarter-finals,La Pontaise,Lausanne ,Austria,7,5,Switzerland,H,Austria, ,1237,AUT,SUI
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Charmilles,Geneva ,Germany,2,0,Yugoslavia,H,Germany, ,1285,FRG,YUG
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Wankdorf Stadium,Berne ,Hungary,4,2,Brazil,H,Hungary, ,1248,HUN,BRA
1954,30 Jun 1954 - 18:00 ,Semi-finals,St. Jakob,Basel ,Germany,6,1,Austria,H,Germany, ,1233,FRG,AUT
1954,30 Jun 1954 - 18:00 ,Semi-finals,La Pontaise,Lausanne ,Hungary,4,2,Uruguay,H,Hungary,Hungary win after extra time ,1295,HUN,URU
1954,03 Jul 1954 - 17:00 ,Match for third place,Hardturm,Zurich ,Austria,3,1,Uruguay,H,Austria, ,1239,AUT,URU
1954,04 Jul 1954 - 17:00 ,Final,Wankdorf Stadium,Berne ,Germany,3,2,Hungary,H,Germany, ,1278,FRG,HUN
1958,08 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,3,0,Mexico,H,Sweden, ,1415,SWE,MEX
1958,08 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Russia,2,2,England,D,Draw, ,1372,URS,ENG
1958,08 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Argentina,1,3,Germany,A,Germany, ,1323,ARG,FRG
1958,08 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,1,1,Wales,D,Draw, ,1407,HUN,WAL
1958,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7,3,Paraguay,H,France, ,1386,FRA,PAR
1958,08 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,1,1,Scotland,D,Draw, ,1434,YUG,SCO
1958,08 Jun 1958 - 19:00 ,Group 4,Rimnersvallen,Udevalla ,Brazil,3,0,Austria,H,Brazil, ,1326,BRA,AUT
1958,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1,0,Czech Republic,H,Northern Ireland, ,1421,NIR,TCH
1958,11 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,0,0,England,D,Draw, ,1339,BRA,ENG
1958,11 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Mexico,1,1,Wales,D,Draw, ,1418,MEX,WAL
1958,11 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,Paraguay,3,2,Scotland,H,Paraguay, ,1423,PAR,SCO
1958,11 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,3,2,France,H,Yugoslavia, ,1388,YUG,FRA
1958,11 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,Russia,2,0,Austria,H,Russia, ,1332,URS,AUT
1958,11 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Germany,2,2,Czech Republic,D,Draw, ,1391,FRG,TCH
1958,11 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Argentina,3,1,Northern Ireland,H,Argentina, ,1324,ARG,NIR
1958,12 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,2,1,Hungary,H,Sweden, ,1406,SWE,HUN
1958,15 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,0,0,Wales,D,Draw, ,1438,SWE,WAL
1958,15 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,2,0,Russia,H,Brazil, ,1344,BRA,URS
1958,15 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Germany,2,2,Northern Ireland,D,Draw, ,1389,FRG,NIR
1958,15 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,4,0,Mexico,H,Hungary, ,1403,HUN,MEX
1958,15 Jun 1958 - 19:00 ,Group 2,Tunavallen,Eskilstuna ,Paraguay,3,3,Yugoslavia,D,Draw, ,1426,PAR,YUG
1958,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,Orebro ,France,2,1,Scotland,H,France, ,1387,FRA,SCO
1958,15 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,England,2,2,Austria,D,Draw, ,1327,ENG,AUT
1958,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czech Republic,6,1,Argentina,H,Czech Republic, ,1325,TCH,ARG
1958,17 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Russia,1,0,England,H,Russia, ,1373,URS,ENG
1958,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2,1,Czech Republic,H,Northern Ireland,Northern Ireland win after extra time ,1422,NIR,TCH
1958,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2,1,Hungary,H,Wales, ,1408,WAL,HUN
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1,0,Wales,H,Brazil, ,1345,BRA,WAL
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Malmo Stadion,Malm� ,Germany,1,0,Yugoslavia,H,Germany, ,1392,FRG,YUG
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Rasunda Stadium,Solna ,Sweden,2,0,Russia,H,Sweden, ,1437,SWE,URS
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4,0,Northern Ireland,H,France, ,1385,FRA,NIR
1958,24 Jun 1958 - 19:00 ,Semi-finals,Nya Ullevi,Gothenburg ,Sweden,3,1,Germany,H,Sweden, ,1390,SWE,FRG
1958,24 Jun 1958 - 19:00 ,Semi-finals,Rasunda Stadium,Solna ,Brazil,5,2,France,H,Brazil, ,1340,BRA,FRA
